fill	x	y	showSelectedlegendfill	clickSelects
#F8766D	0.2	1.4	setosa	1
#F8766D	0.2	1.4	setosa	2
#F8766D	0.2	1.3	setosa	3
#F8766D	0.2	1.5	setosa	4
#F8766D	0.2	1.4	setosa	5
#F8766D	0.4	1.7	setosa	6
#F8766D	0.3	1.4	setosa	7
#F8766D	0.2	1.5	setosa	8
#F8766D	0.2	1.4	setosa	9
#F8766D	0.1	1.5	setosa	10
#F8766D	0.2	1.5	setosa	11
#F8766D	0.2	1.6	setosa	12
#F8766D	0.1	1.4	setosa	13
#F8766D	0.1	1.1	setosa	14
#F8766D	0.2	1.2	setosa	15
#F8766D	0.4	1.5	setosa	16
#F8766D	0.4	1.3	setosa	17
#F8766D	0.3	1.4	setosa	18
#F8766D	0.3	1.7	setosa	19
#F8766D	0.3	1.5	setosa	20
#F8766D	0.2	1.7	setosa	21
#F8766D	0.4	1.5	setosa	22
#F8766D	0.2	1	setosa	23
#F8766D	0.5	1.7	setosa	24
#F8766D	0.2	1.9	setosa	25
#F8766D	0.2	1.6	setosa	26
#F8766D	0.4	1.6	setosa	27
#F8766D	0.2	1.5	setosa	28
#F8766D	0.2	1.4	setosa	29
#F8766D	0.2	1.6	setosa	30
#F8766D	0.2	1.6	setosa	31
#F8766D	0.4	1.5	setosa	32
#F8766D	0.1	1.5	setosa	33
#F8766D	0.2	1.4	setosa	34
#F8766D	0.2	1.5	setosa	35
#F8766D	0.2	1.2	setosa	36
#F8766D	0.2	1.3	setosa	37
#F8766D	0.1	1.4	setosa	38
#F8766D	0.2	1.3	setosa	39
#F8766D	0.2	1.5	setosa	40
#F8766D	0.3	1.3	setosa	41
#F8766D	0.3	1.3	setosa	42
#F8766D	0.2	1.3	setosa	43
#F8766D	0.6	1.6	setosa	44
#F8766D	0.4	1.9	setosa	45
#F8766D	0.3	1.4	setosa	46
#F8766D	0.2	1.6	setosa	47
#F8766D	0.2	1.4	setosa	48
#F8766D	0.2	1.5	setosa	49
#F8766D	0.2	1.4	setosa	50
#00BA38	1.4	4.7	versicolor	51
#00BA38	1.5	4.5	versicolor	52
#00BA38	1.5	4.9	versicolor	53
#00BA38	1.3	4	versicolor	54
#00BA38	1.5	4.6	versicolor	55
#00BA38	1.3	4.5	versicolor	56
#00BA38	1.6	4.7	versicolor	57
#00BA38	1	3.3	versicolor	58
#00BA38	1.3	4.6	versicolor	59
#00BA38	1.4	3.9	versicolor	60
#00BA38	1	3.5	versicolor	61
#00BA38	1.5	4.2	versicolor	62
#00BA38	1	4	versicolor	63
#00BA38	1.4	4.7	versicolor	64
#00BA38	1.3	3.6	versicolor	65
#00BA38	1.4	4.4	versicolor	66
#00BA38	1.5	4.5	versicolor	67
#00BA38	1	4.1	versicolor	68
#00BA38	1.5	4.5	versicolor	69
#00BA38	1.1	3.9	versicolor	70
#00BA38	1.8	4.8	versicolor	71
#00BA38	1.3	4	versicolor	72
#00BA38	1.5	4.9	versicolor	73
#00BA38	1.2	4.7	versicolor	74
#00BA38	1.3	4.3	versicolor	75
#00BA38	1.4	4.4	versicolor	76
#00BA38	1.4	4.8	versicolor	77
#00BA38	1.7	5	versicolor	78
#00BA38	1.5	4.5	versicolor	79
#00BA38	1	3.5	versicolor	80
#00BA38	1.1	3.8	versicolor	81
#00BA38	1	3.7	versicolor	82
#00BA38	1.2	3.9	versicolor	83
#00BA38	1.6	5.1	versicolor	84
#00BA38	1.5	4.5	versicolor	85
#00BA38	1.6	4.5	versicolor	86
#00BA38	1.5	4.7	versicolor	87
#00BA38	1.3	4.4	versicolor	88
#00BA38	1.3	4.1	versicolor	89
#00BA38	1.3	4	versicolor	90
#00BA38	1.2	4.4	versicolor	91
#00BA38	1.4	4.6	versicolor	92
#00BA38	1.2	4	versicolor	93
#00BA38	1	3.3	versicolor	94
#00BA38	1.3	4.2	versicolor	95
#00BA38	1.2	4.2	versicolor	96
#00BA38	1.3	4.2	versicolor	97
#00BA38	1.3	4.3	versicolor	98
#00BA38	1.1	3	versicolor	99
